,name,online_order,rest_type,cuisines
15309,Albert Bakery,No,Bakery,"Bakery, Fast Food"
16413,Cake Cafe,Yes,Bakery,"Bakery, Desserts"
16515,Cake Dilim,Yes,Bakery,"Bakery, Desserts"
16875,L J Iyengar Bakery,No,Bakery,Bakery
22456,Multi Cakes,No,Bakery,"Bakery, Desserts"
26668,Cake Box,Yes,Bakery,"Bakery, Desserts"
40008,Bun World,No,Bakery,"Bakery, Fast Food"
40068,O.G. Variar & Sons,No,Bakery,"Bakery, Desserts"
41266,Strawbees,Yes,Bakery,"Bakery, Desserts"
50162,Juice Berg,Yes,Bakery,"Bakery, Desserts"
50451,Lemon Krust,Yes,Bakery,"Bakery, Fast Food"
3795,Stoner,Yes,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages"
5058,Lakeview Milkbar,No,"Dessert Parlor, Cafe","Desserts, Cafe, Fast Food"
5244,Mama Mia!,Yes,"Dessert Parlor, Cafe","Desserts, Cafe"
8348,99 Pancakes,Yes,"Dessert Parlor, Cafe","Desserts, Cafe"
8360,Smoor,Yes,"Dessert Parlor, Cafe","Desserts, Cafe, Beverages"
17585,Spoonful Of Sugar,No,"Dessert Parlor, Cafe","Desserts, Bakery, Cafe"
17636,The Chocolate Heaven,Yes,"Dessert Parlor, Cafe","Desserts, Cafe, Italian, Beverages"
81,Frozen Bottle,Yes,Beverage Shop,"Beverages, Desserts, Ice Cream"
167,Lassi Corner,Yes,Beverage Shop,"Beverages, Ice Cream"
181,Shakes Theory,Yes,Beverage Shop,"Beverages, Sandwich"
226,Karma Kaapi,Yes,Beverage Shop,"Beverages, Tea"
335,Chai Kraft,Yes,Beverage Shop,"Beverages, Tea"
1278,Shake It Off,Yes,Beverage Shop,"Beverages, Fast Food"
2735,Sreeraj Lassi Bar,Yes,Beverage Shop,"Beverages, Desserts"
3229,Cool Joint,No,Beverage Shop,"Beverages, Desserts"
5119,Sri Ganesh Juice Junction,Yes,Beverage Shop,"Beverages, Juices, Fast Food"
6673,Juicy,No,Beverage Shop,"Beverages, Juices, Fast Food"
7117,Bobacha,Yes,Beverage Shop,"Beverages, Bubble Tea, Tea"
8623,Makers of Milkshakes,Yes,Beverage Shop,Beverages
9980,The ThickShake Factory,No,Beverage Shop,"Beverages, Juices"
10297,Lassi Shop,Yes,Beverage Shop,"Beverages, Ice Cream"
10758,Pout,No,Beverage Shop,Beverages
13413,Lassi Adda,Yes,Beverage Shop,"Beverages, Sandwich, Fast Food"
17807,Sabari Juice Junction,Yes,Beverage Shop,"Beverages, Sandwich"
24118,Breezy Cow Bar,Yes,Beverage Shop,Beverages
27862,Juicemaker,No,Beverage Shop,"Beverages, Fast Food"
39617,Patiala Lassi,Yes,Beverage Shop,Beverages
40248,Empire Juice Shop,No,Beverage Shop,Juices
40633,Chai Point,Yes,Beverage Shop,"Fast Food, Beverages"
50239,Arogya Thaana,Yes,Beverage Shop,"Beverages, Sandwich"
418,Chai Point,Yes,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food"
1308,Drunken Monkey,Yes,"Beverage Shop, Quick Bites","Beverages, Fast Food"
2782,Shake It Off,Yes,"Beverage Shop, Quick Bites","Beverages, Fast Food"
6670,Haji Ali Juice Centre,Yes,"Beverage Shop, Quick Bites","Beverages, Fast Food, Desserts"
6916,Lassi Corner,Yes,"Beverage Shop, Quick Bites","Beverages, Sandwich"
7129,Masala Chai,Yes,"Beverage Shop, Quick Bites","Beverages, Fast Food, Tea"
8532,ONE IN A MELON,Yes,"Beverage Shop, Quick Bites","Juices, Healthy Food"
8580,ReFresh Juice Junction,Yes,"Beverage Shop, Quick Bites","Juices, Fast Food"
8738,Juice Junction,Yes,"Beverage Shop, Quick Bites","Juices, Fast Food"
9043,Juice Junction Food Court,Yes,"Beverage Shop, Quick Bites","Beverages, Juices, Fast Food"
13423,Lassi Resto Cafe,Yes,"Beverage Shop, Quick Bites","Beverages, Fast Food"
15837,Chaai Resto,Yes,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food"
18201,Frootality,No,"Beverage Shop, Quick Bites","Healthy Food, Beverages"
44048,Lassi Shop,Yes,"Beverage Shop, Quick Bites","Beverages, Juices, Ice Cream, Fast Food"
476,Brew Meister,Yes,"Microbrewery, Casual Dining","North Indian, Continental, Finger Food, American, Asian"
2239,Brahma Brews,No,"Microbrewery, Casual Dining","Continental, South Indian, Finger Food, Pizza, Seafood"
2240,Levitate Brewery and Kitchen,No,"Microbrewery, Casual Dining","Finger Food, North Indian, Continental"
3950,La Casa Brewery And Kitchen,Yes,"Microbrewery, Casual Dining","Finger Food, Continental, Seafood"
4390,THE RIG,No,"Microbrewery, Casual Dining","Continental, Finger Food, Pizza"
5834,Alchemy - The Chancery Pavilion,No,"Microbrewery, Casual Dining",Modern Indian
5947,ShakesBierre,No,"Microbrewery, Casual Dining","Asian, Continental, European, North Indian"
6041,Communiti,No,"Microbrewery, Casual Dining","Continental, BBQ, Salad"
8269,XOOX Brewmill,No,"Microbrewery, Casual Dining","Modern Indian, European, Asian"
10890,The Terrace at Gilly's Redefined,No,"Microbrewery, Casual Dining","Continental, Finger Food, Asian, North Indian"
10893,Simon Says Brew Works,No,"Microbrewery, Casual Dining","Continental, American, Italian, Modern Indian, Pizza, Burger"
23457,The Yellow Submarine,No,"Microbrewery, Casual Dining","Continental, North Indian, Chinese, Pizza, Thai"
24239,Brewklyn Microbrewery,Yes,"Microbrewery, Casual Dining","American, South Indian, Thai, Pizza, Italian"
24248,Float Brewery,No,"Microbrewery, Casual Dining",European
24688,Wanderers,No,"Microbrewery, Casual Dining","Continental, North Indian, South Indian, Italian"
28149,The Bier Library,Yes,"Microbrewery, Casual Dining","Continental, North Indian, Pizza, BBQ"
44071,The Druid Garden,Yes,"Microbrewery, Casual Dining","Asian, Continental, European, North Indian, Mediterranean"
890,Cafe Arabica,No,"Cafe, Bakery","Cafe, Bakery"
1282,Bun Town,Yes,"Cafe, Bakery","Cafe, Bakery"
5067,Happy Belly Bakes,Yes,"Cafe, Bakery","Cafe, Bakery"
5070,The Blackboard Bakery,No,"Cafe, Bakery","Cafe, Bakery, Continental"
5224,Marzipan Cafe & Bakery,Yes,"Cafe, Bakery","Cafe, Mediterranean, Bakery, Greek, Beverages"
5371,Chantilly,Yes,"Cafe, Bakery","Cafe, Bakery"
6775,Breads and Banter,No,"Cafe, Bakery","Cafe, Bakery, Fast Food"
13399,Entree cafe,Yes,"Cafe, Bakery","Cafe, Bakery, Desserts"
15819,The Chocolate Room,Yes,"Cafe, Bakery","Cafe, Bakery, Fast Food, Desserts"
17561,Lazy Suzy,Yes,"Cafe, Bakery","Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European"
19445,Skyline Pizzeria,No,"Cafe, Bakery","Cafe, Bakery, Italian"
39445,Aubree,Yes,"Cafe, Bakery","Cafe, Bakery"
1398,Churchill's,Yes,"Casual Dining, Pub","North Indian, Continental"
1682,Bottle Breacher,No,"Casual Dining, Pub","Italian, Continental"
4119,Tapout Tavern,Yes,"Casual Dining, Pub","American, Asian, Continental, North Indian, South Indian, Chinese"
4142,The Irish House,Yes,"Casual Dining, Pub","European, American"
5954,Plan B,No,"Casual Dining, Pub","American, Continental, BBQ, Steak"
6148,Smaaash,No,"Casual Dining, Pub","North Indian, Pizza, Chinese"
8635,Beer Adda,Yes,"Casual Dining, Pub","North Indian, Chinese, Pizza"
10891,The Boozy Griffin,No,"Casual Dining, Pub","European, Continental"
15087,Dolphin Bar,No,"Casual Dining, Pub","Chinese, Finger Food, North Indian, Seafood"
24036,Casa De Goa,Yes,"Casual Dining, Pub","Goan, Mangalorean"
28067,Hello Resto-Pub,Yes,"Casual Dining, Pub",Continental
3787,Delitz Creamvilla Cafe,Yes,"Cafe, Dessert Parlor","Cafe, Desserts, Ice Cream"
5104,Dolci Desserts,Yes,"Cafe, Dessert Parlor","Cafe, Desserts"
6785,Bloomsbury's Global Kitchen & Bakehouse,Yes,"Cafe, Dessert Parlor","American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza"
8333,Sixth Avenue Cafe And Patisserie,No,"Cafe, Dessert Parlor","Cafe, Italian, Desserts"
8341,Lot Like Crepes,Yes,"Cafe, Dessert Parlor","Cafe, Desserts, Continental"
13401,Magic Oven,No,"Cafe, Dessert Parlor","Cafe, Desserts"
15805,Amour Fine Patisserie,Yes,"Cafe, Dessert Parlor","Cafe, Desserts, Continental"
17563,Lavonne,No,"Cafe, Dessert Parlor","Cafe, Desserts"
17615,Melting Spot,No,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages, Italian"
37793,The Culinarium,No,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages"
39433,Smoor,Yes,"Cafe, Dessert Parlor","Desserts, Cafe, Continental"
48865,Creamvilla,Yes,"Cafe, Dessert Parlor","Cafe, Desserts, Ice Cream"
408,Anand Sweets and Savouries,Yes,Sweet Shop,"Mithai, Street Food"
495,Poonam Sweets,No,Sweet Shop,Mithai
1072,Kanti Sweets,Yes,Sweet Shop,"Mithai, Street Food"
4029,Rusbury Fresh Sweets And Savouries,Yes,Sweet Shop,"Mithai, Street Food"
5310,Tewari Bros Mithai Shoppie,Yes,Sweet Shop,"Fast Food, Mithai"
8466,Anand Sweets And Savouries,Yes,Sweet Shop,"Mithai, Street Food"
8520,Sangam Sweets,Yes,Sweet Shop,"Mithai, Street Food"
8620,Taaza Mithai,Yes,Sweet Shop,"Mithai, Street Food"
9148,Uday Sweets,Yes,Sweet Shop,"Mithai, Fast Food"
18411,Kanti's,No,Sweet Shop,"Mithai, Street Food"
39587,Asha Sweets Centre,Yes,Sweet Shop,"Mithai, Street Food"
39852,Shree Mahalakshmi Sweets,Yes,Sweet Shop,"Mithai, Street Food"
44224,Bikaner Sweets,Yes,Sweet Shop,"Mithai, Street Food"
